,apps_used
-,80
não detalha,61
matlab,8
benchimage,6
"nqueens, facedetection. não.",6
cloudsim,4
"1) streaming audio: analyzes the audio, identifies if the voice is  male/female, displays the gender of the speaker as well as the text  spoken.",2
não detalha a aplicação,2
"sem detalhes, mais algoritmos soltos",2
"inspired by this idea, this paper introduces computing offloading  technology to maritime mobile cloud networks. (ow loco meu!)",1
1) optical character recognition,1
"ocr app, chess game",1
"local processing (lp), edge clouds only (eco), nash-overall (todos são algoritmos usados para comparação)",1
"app that read integers in a file, sort them, and save the sorted list in another file",1
posterar,1
"1) we use the dataset sherlock vs moriarty on smartphones, to set the  size of the containers requested by users. this dataset has about 1  million records, and we draw a random sample from it to obtain the  users’ requests dataset  ds: https://cyber.bgu.ac.il/wp-content/uploads/2017/10/p1-mirsky.pdf ",1
augumented reality application,1
1) video object detection (vid) detects and tracks multiple objects  in a live video stream (we adopt a generic vid scheme named  tracking-by-detection [20].). obs: não identifiquei na descrição do cenário se foi utilizado um dispositivo móvel como cliente. ,1
"fingerprint application, gps calculation, address book, car store",1
1 navigator; 2 facerecognizer; 3 antivirus and 4 chess  (in dag format),1
"object, face, digit (ambos para comparação), neten (linux), powertop, xilinx sdsoc",1
"obs: não identifiquei, a priori, se alguma aplicação foi utilizada",1
aplicação de filtros em imagens. não.,1
"energy-efficient, random, greedy, serendipity-c",1
google maps,1
mixed-reality app,1
app para identificar jogadores de cricket,1
"trepn profiler, qing cloud",1
ns-3 (para simulação),1
mdp framework,1
"gzip, pdf2text, z264 cbr encode, html2text",1
"scheduling approach (dp), unit of vvrtual rrsource (up),  total profit of a job (tp)",1
1) mobile blockchain mining,1
1) we propose aframework to split dnns for image processing and  minimize capture-to-output delay in a wide range of network conditions  and computing parameters. obs: raspberry 3/notebook como  dispositivos móveis.,1
"1) assuming that the user is performing an application for face re- cognition the size needed for each subtask to be uploaded is 5000  kb, and the number of cpu cycles to be com-puted is 1 ghz.",1
heatsweeper,1
 optimal enumeration computation offloading scheme (oeco),1
algoritmo de reconhecimento facial,1
"embora os autores falem que usaram ""real-world dataset"", eu não encontrei tais datasets que descrevem o comportamento  da aplicação (ou ao menos uma mensão a aplicação em si) localização edge/users melborne, aus https://github.com/swinedge/eua-dataset",1
1) mineração blockchain (ethereum),1
"cloudaware, nokia mdc dataset",1
"1) benchmarks (microbenchmark, rodinia e power savings)",1
edgecloudsim,1
1) reconhecimento de imagens: placas e veículos (we conduct our  experiments on two datasets: gtsrb e cifar-100.) obs: portable  navigation devices (pnds) como dispositivo móvel.,1
1) three face detection applications (datatrace),1
"editor de vídeo, chess game",1
"benchimage, collisionballs",1
"oecco, acco, gt-cco",1
"1) vídeo streaming: alladin, duck, old town, and park run.",1
"activity recognition, step counter, speaker couting, emotion recognition, speaker identification, stress detection, keyword spotting",1
"ocr, image filter, chess, queen, linpack, sudoku",1
1) multiplicação de matrizes,1
não informa,1
não especifica,1
1) we are introducing an empirical study on the effects of using edge  computing for offloading computation in a 4g radio network enabling  navigation and machine intelligence as a service for atss. obs: o dispositivo móvel é um robô.,1
1) virtual reality game according to the [29].,1
"matlab, comet, vm-based cloudlet, pss",1
the range of the number of instructions has been empirically estimated considering an application that processes image  files ranging from 1600×1200 to 4000×3000pixels.,1
"powertutor ,thinkair (apenas para comparação)",1
"double a number, flames puzzle, word puzzles, chess game, image edge detection",1
ns3 (para simular),1
pokemon go,1
"in the performance analysis, we consider a scenario in which wearable devices (e.g., smartwatch and smart band)  actas iot devices and smart phones or wireless routers act  as edge devices.",1
virus scanning,1
1) multiplicação de matrizes (implementação em c),1
1) benchmarks (coremark e specjvm08),1
"qualnet 4.5, cloud learning automata algorithm (vcla, amcc.",1
"1) fibonacci, 2) multiplicação de matrizes (web apps)",1
visual studio 2010 c++ com opencv,1
e-healthcare,1
marl-jdora,1
"oracle, panda, no-learning",1
1) detecção de face,1
matlab com cvx tool,1
"dp, adp, adpe, algoritmo de seleção de classe, aplicativo de reconhecimento facial, aplicativo de video game",1
1) face recognition application (obs: modelado em grafo),1
algoritmos local-view e globalview,1
myphotos,1
"1) aplicação coleta informações de sensores (i.e. acelerometro e gps)  e extrai características estatísticas (média, desvio padrão, variância, e  magnitude).",1
"1) lostchild (already described in the paper); 2) facedate  (neog et al., 2016); 3) we also evaluated moitree with micro- benchmarks.",1
"pmmra, chen’s algorithm, zhang’s algorithm",1
"ncgg, mo-nsga, matlab r-2019a, yalmip,  mo-nsga, hobs, rogs",1
reconhecimento de imagens,1
"slam-based image recognition app, aes encryption app, matrix and vector apps",1
1) video library of 1000 different videos chosen randomly  from the dataset in and belonging to g =6 categories,1
"primal-dual, greedy, modi di-obl, dados do cluster do google",1
"one application is decomposed intoseveral fine-grained tasks.  the topology of tasks can be described as a combination off  our basic patterns: sequential execution of activities (seq),  parallel execution of activities (and), conditional execution  of activities (xor) and iterative execution of activities (loop). ",1
"in our experiment,the data size and required cpu cycles of each module are  randomly generated between [500, 1500] kb and [0.2, 0.3] ghz, which simulate  scenarios for different applications",1
1) n-queens,1
"número primo, n-queens e número perfeito",1
"zip/unzip, virus scanning, n-queens",1
requisições simuladas com o postman,1
fmax cpu,1
"mobile object recognition, qr-code recogniton",1
aplicação mobica (mobile cloud computing language),1
1) computing vision transforms images by decreasing the number of  colors depending on the picture’s size.,1
"trepn profiler, google cloud",1
speech to text,1
1) detecção de face em arquivos de video,1
1) detecção de stress (via dataset criado pelos autores),1
stanford drone dataset,1
"photo translator, global mobile map viewing and  navigation for online and offline osm maps, ns-3",1
1) facerecognizer 2) navigator (dag format),1
1) based on the real-time object detection application. the video frames  are captured with the resolution of 640×480 pixels and encoded by gray  scale for 8 bits/pixel. the requiredcpu cycles of executing task range  from 75 to 140 cycles/bit.,1
"xadrez, editor de fotos, aplicação sintética",1
face recognition,1
"pargen, matlab",1
"1) firefox for mobile, 2) chess-walk, 3) barcode scanner (dataset)",1
realidade aumentada,1
"fosa, jpoa-s e jpoa_spamx (ambos para comparação)",1
1) blockchain the computation intensity is 15000 cpu cycles/bit,1
"bubble sort, fibonacci, matrix mul e gomoku",1
"1) analyse and classify moving objects  (e.g., cars, trucks, etc.) (obs: drones como cliente)",1
"ar, video tracking",1
massively multiplayer online game,1
"1) siesta, 2) charmm, 3) mdrun_mpi, 4) nwchem, 5) vasp_ncl,  6) cocmomc, 7) lmp_stampede, 8) namd2, 9) fvcom",1
bubble sort application,1
"1) anedge-assisted test app that replays the file access traces  of real mobile users and 2) video analytics app, assisted by the  edge or the cloud (obs: offloading de dados)",1
"1) face detection and recognition application... we choose the default  task input size 420kb and the preference parameters 0.2,0.8, and 1",1
mobiclique (para emular a mobilidade aleatória de cloudlets móveis para compartilhamento de tarefas e descarregamento),1
emoticon detection,1
1) based on the configurations of mobile edge computing assisted  video gaming applications (...) the average values are 500kb and  1000 megacycles (...) actual values of the packet sizeand required  cpu cycles of each computation task fromeach mobile user to be  taken randomly (...),1
app de  reconhecimento de faces,1
processador de imagens,1
"usa raspberry, mas acho que os dispositivos não são móveis",1
"face, plate e speech applications e ocr application",1
"1) video application (...it extracts visual information at different  semantic levels, including object, scene graph, and video  description in natural language...)",1
"1) with the help of real implementations [8,12,15,16,19,20], a wide  range of values was assumed for parameters to model a large  variety of cloudlets (...)",1
quicksort app,1
1 facebook; 2 facerecognizer and 3 chess  (in dag format),1
"face recognition, chess, virus scanning, n-queens, video transcoding",1
"1) mergesort, 2) quicksort, 3) multiplicação de matrizes",1
"1) android-ocr, 2) imagefilter, 3) chess, 4) sudoku e 5) n-queens",1
the one,1
"1) reconhecimento facial, 2) identificador e rotulador de prédios,  3) simula as leituras do acelerometro de um cliente, 4) benchmarks (linpack, cpu benchmark e pi benchmark -> tem no google play)",1
"1) a face detection application. the data size of the computation tasks  and the total number of the cpu cycles (i.e.,computing load) follow  the gaussian distribution",1
"1) for the task assignment, face recognition algorithm with 420kb of  input image size that needs 1000 mcycles ofcomputational resource  [1] has been considered.",1
"in this paper, the face recognition algorithm [40] has been used as a computation  task. the size of the task data is distributed randomly from 1000 kb to 5000 kb,  and the computation resources required are set from 200 megacycles to 1000  megacycles.",1
"mobile intelligent applications, matlab, caffe framework",1
"initialization algorithm (ia), device reassignment algorithm (dra), and device-server pair exchange algorithm (dspea).",1
augmented real-ity (ar) system for smart cities,1
"1) benchimage, 2) soma e multiplicação de matrizes",1
