benchimage,8
nqueens,6
face detection/face recognition,26
streaming audio,2
powertutor,1
fingerprint application,1
gps calculation,1 
address book,1 
realidade aumentada,2
android-ocr,4
image filter,4
chess,9
sudoku,2
n-queens,6
bubble sort,2
fibonacci,2
matrix operations,7
gomoku1,1
mixed-reality app,1
trepn profiler,1
merge sort,1
quick sort,2
cricket player identifier,1
virus scanning,4
gzip,2
pdf2text,1 
z264 cbr encode,1 
html2text,1
activity recognition,1 
step counter,1 
speaker couting,1 
emotion recognition,1 
speaker identification,1 
stress detection,1 
keyword spotting,1
microbenchmark,1
rodinia benchmark,1
power savings benchmark,1
mobiclique,1
número primo,1
número perfeito,1
navigator,1
heatsweeper,1
emoticon detection,1
e-healthcare,1
video game,2
double a number,1
flames puzzle,1 
word puzzles,1
image edge detection,1
chan’s algorithm,1 
zhang’s algorithm,1
ethereum,1
image processing,5
video editor,1
facebook,1
quick sort,1
collisionballs,1
augumented reality,2
pokemon go,1
myphotos,1
firefox for mobile,1
chess-walk,1
barcode scanner,1
aes encryption app,1
slam-based image recognition app,1
coremark benchmark,1
google maps,1
trepn profiler,1
speech to text,1
qr-code recogniton,1
