Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
Meng2016168	Analysis of mitigation measures for timing attacks in mobile-cloud offloading systems	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962322651&doi=10.1007%2f978-3-319-31559-1_14&partnerID=40&md5=cad789fc2f0e1cbabc8e149a4e4c6eb0	Não								
Zhang2016174	Mobile edge computing and field trial results for 5G low latency scenario	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011309001&doi=10.1109%2fCC.2016.7833471&partnerID=40&md5=ad5920070550f5be00df5446e6cee666	Não								
Tang20165868	When Social Network Meets Mobile Cloud: A Social Group Utility Approach for Optimizing Computation Offloading in Cloudlet	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994465428&doi=10.1109%2fACCESS.2016.2611602&partnerID=40&md5=b0c0daf779ccfa4953099cd88cbb60a5	Ver todo artigo								
Qi2016	Software Defined Resource Orchestration System for Multitask Application in Heterogeneous Mobile Cloud Computing	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979083959&doi=10.1155%2f2016%2f2784548&partnerID=40&md5=e19f36108d2ed2a9445d783f61d84f9e	Não								
Mao2016	Power-delay tradeoff in multi-user mobile-edge computing systems	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015451847&doi=10.1109%2fGLOCOM.2016.7842160&partnerID=40&md5=bfd74cf9c4c098c5a0c7edeb081b5de9	Não								
Drǎghici20163	Practical analysis of cloud offloading strategies for heavy AI processing mobile games	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030237062&partnerID=40&md5=7d896ea3b33e4d48b1037659a4d6ab3a	Sim (Mas é um technical report, a princípio sem revisão por pares)								
Panneerselvam20169129	Mobilouds: An Energy Efficient MCC Collaborative Framework with Extended Mobile Participation for Next Generation Networks	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015259477&doi=10.1109%2fACCESS.2016.2602321&partnerID=40&md5=2abf4c164879fc887992da0dbba12583	Não								
Aceto201666	A cost/reward method for optimal infinite scheduling in mobile cloud computing	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958064314&doi=10.1007%2f978-3-319-28934-2_4&partnerID=40&md5=2485bfcaab2f6ec06a7f4b0ca1b46c21	Conteúdo sim, mas é de um workshop								
Liang2016146	Heterogeneous computation migration on LLVM	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969269208&doi=10.1007%2f978-3-319-39077-2_10&partnerID=40&md5=0ab1051d7d43e2f2b462da7a4c3b4c44	Ver todo artigo. Abstract não fala de experimentos								
Kath2016180	MCM analyzer: A fuzzy logic-based offloading decision trade-off for mobile cloud computing	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979584554&partnerID=40&md5=0e8dbbfaff35c29ac9da53cd0b58532b	Não								
